,BAABBBBB,BBBBBABB,BBABBBBB,ABBABBBB,BBBBAABB,ABBBBABB,BABBBBBB,BBABBBAB,AABBBBBB,BABBBBBA,BBABBABB,BABABBBB,BBBABBBB,BBABABBB,BBBBBAAB
BAABBBBB,0.0,0.375,0.125,0.5,0.5,0.5,0.125,0.25,0.25,0.25,0.25,0.25,0.375,0.25,0.5
BBBBBABB,0.375,0.0,0.25,0.375,0.125,0.125,0.25,0.375,0.375,0.375,0.125,0.375,0.25,0.375,0.125
BBABBBBB,0.125,0.25,0.0,0.375,0.375,0.375,0.25,0.125,0.375,0.375,0.125,0.375,0.25,0.125,0.375
ABBABBBB,0.5,0.375,0.375,0.0,0.5,0.25,0.375,0.5,0.25,0.5,0.5,0.25,0.125,0.5,0.5
BBBBAABB,0.5,0.125,0.375,0.5,0.0,0.25,0.375,0.5,0.5,0.5,0.25,0.5,0.375,0.25,0.25
ABBBBABB,0.5,0.125,0.375,0.25,0.25,0.0,0.375,0.5,0.25,0.5,0.25,0.5,0.375,0.5,0.25
BABBBBBB,0.125,0.25,0.25,0.375,0.375,0.375,0.0,0.375,0.125,0.125,0.375,0.125,0.25,0.375,0.375
BBABBBAB,0.25,0.375,0.125,0.5,0.5,0.5,0.375,0.0,0.5,0.5,0.25,0.5,0.375,0.25,0.25
AABBBBBB,0.25,0.375,0.375,0.25,0.5,0.25,0.125,0.5,0.0,0.25,0.5,0.25,0.375,0.5,0.5
BABBBBBA,0.25,0.375,0.375,0.5,0.5,0.5,0.125,0.5,0.25,0.0,0.5,0.25,0.375,0.5,0.5
BBABBABB,0.25,0.125,0.125,0.5,0.25,0.25,0.375,0.25,0.5,0.5,0.0,0.5,0.375,0.25,0.25
BABABBBB,0.25,0.375,0.375,0.25,0.5,0.5,0.125,0.5,0.25,0.25,0.5,0.0,0.125,0.5,0.5
BBBABBBB,0.375,0.25,0.25,0.125,0.375,0.375,0.25,0.375,0.375,0.375,0.375,0.125,0.0,0.375,0.375
BBABABBB,0.25,0.375,0.125,0.5,0.25,0.5,0.375,0.25,0.5,0.5,0.25,0.5,0.375,0.0,0.5
BBBBBAAB,0.5,0.125,0.375,0.5,0.25,0.25,0.375,0.25,0.5,0.5,0.25,0.5,0.375,0.5,0.0
